City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tuktoyaktuk,75,CA,1558847767,86,69.44,-133.03,274.15,7.7
byron bay,90,AU,1558848133,50,-28.65,153.62,299.26,3.1
aksu,75,KZ,1558848133,34,52.04,76.93,284.15,7
cape town,0,ZA,1558848044,33,-33.93,18.42,299.82,4.6
dali,45,CN,1558848134,40,25.6,100.24,299.012,2.74
khatanga,79,RU,1558848134,100,71.98,102.47,277.512,4.43
hithadhoo,77,MV,1558848135,68,-0.6,73.08,301.912,0.98
port hardy,20,CA,1558847613,76,50.7,-127.42,285.15,3.1
sao filipe,28,CV,1558848136,76,14.9,-24.5,295.012,4.42
simpang,75,MY,1558848136,66,4.82,100.71,305.15,3.1
manaure,100,CO,1558848136,83,11.78,-72.45,300.712,6.41
egvekinot,86,RU,1558848066,99,66.32,-179.17,274.612,2.3
san pedro,100,AR,1558848139,89,-33.68,-59.66,285.37,0.45
cherskiy,51,RU,1558848139,52,68.75,161.3,288.812,4.63
buraydah,0,SA,1558848139,27,26.33,43.97,304.15,1.5
ipixuna,0,BR,1558848140,88,-1.76,-48.8,298.15,2.1
luganville,20,VU,1558848140,65,-15.51,167.18,301.15,3.6
wanning,75,AT,1558848140,87,48.64,13.53,289.26,3.1
maues,59,BR,1558848141,88,-3.38,-57.72,297.112,0.82
santa vitoria do palmar,65,BR,1558848141,89,-33.52,-53.37,284.612,2.68
lashio,44,MM,1558848142,31,22.93,97.75,306.912,1.25
nabire,100,ID,1558847917,70,-3.36,135.5,301.012,1.39
sokolo,65,ML,1558848142,36,14.74,-6.12,305.712,3.38
itarema,87,BR,1558848143,94,-2.92,-39.92,297.412,1.95
greenville,1,US,1558848143,65,34.85,-82.4,300.15,2.15
barrow,98,AR,1558847834,70,-38.31,-60.23,285.312,3.82
oga,100,NG,1558848204,88,8.18,5.65,297.112,3.18
kodiak,75,US,1558848205,82,39.95,-94.76,295.15,10.3
isangel,40,VU,1558848205,78,-19.55,169.27,300.15,2.77
ancud,0,CL,1558848206,100,-41.87,-73.83,275.15,1.5
yanliang,0,CN,1558848206,21,34.66,109.22,305.15,3
tasiilaq,19,GL,1558847915,86,65.61,-37.64,271.15,2.78
nusaybin,0,TR,1558848207,31,37.08,41.21,296.15,4.1
huilong,63,CN,1558848207,55,28.89,110.18,304.912,1.01
shingu,75,JP,1558848208,83,33.72,135.99,297.15,5.7
ahuimanu,1,US,1558848208,69,21.44,-157.84,302.04,4.1
pisco,90,PE,1558848130,72,-13.71,-76.2,292.15,4.6
ilulissat,3,GL,1558848209,70,69.22,-51.1,274.15,1
svetlogorsk,0,RU,1558848209,37,53.14,59.15,284.15,1
la ronge,90,CA,1558848210,61,55.1,-105.3,281.15,1
georgetown,40,GY,1558848181,100,6.8,-58.16,297.15,2.1
nhulunbuy,40,AU,1558848210,55,-12.18,136.78,303.15,5.7
agidel,73,RU,1558848211,56,55.9,53.94,286.712,5.68
